site,trees,species,Canopy,dbh,dist,azimuth,
HOW1,1,PCRU,I,23,3.4,263,
HOW1,2,PCRU,I,13.2,3.5,286,
HOW1,3,PCRU,I,21.3,4.85,273,
HOW1,4,PCRU,I,16,5.45,275,
HOW1,5,TSCA,I,17.8,6.75,295,
HOW1,6,PCRU,C,27.5,6.73,260,
HOW1,7,ACRU,C,27,7.34,276,
HOW1,8,TSCA,S,15.2,8.24,284,
HOW1,9,PCRU,C,21.3,9.45,297,
HOW1,10,PCRU,I,13.5,11.5,294,
HOW1,11,TSCA,D,42.5,12.8,287,
HOW1,12,TSCA,D,27.8,16.1,278,
HOW1,13,PCRU,C,29,19.5,293,
HOW1,14,TSCA,C,25.5,19.6,281,
HOW1,15,PCRU,C,31.2,21.1,279,
HOW1,16,PCRU,D,34.1,20.6,271,
HOW1,17,TSCA,D,44.7,23.9,273,
HOW1,18,PCRU,C,36.4,26.3,268,
HOW1,19,TSCA,D,52.2,25.4,306,
HOW1,20,PCRU,C,20.5,5.5,298,
HOW1,21,PCRU,C,28.7,7.3,333,
HOW1,22,PCRU,S,17.1,9.7,334,
HOW1,23,PCRU,C,29.5,11.1,345,
HOW1,24,TSCA,I,18.4,11.2,327,
HOW1,25,PCRU,C,20.7,12.6,320,
HOW1,26,PCRU,C,22.3,17.4,332,
HOW1,27,PCRU,C,28.1,18.2,334,
HOW1,28,PCRU,C,20.5,16.5,347,
HOW1,29,PIST,D,37.5,20.3,337,
HOW1,30,ACRU,C,34.2,29.4,314,
HOW1,31,PCRU,C,11.6,10.9,320,
HOW1,32,PCRU,I,10.1,11.2,330,
HOW1,33,PCRU,C,23.2,3.6,180,
HOW1,34,PCRU,I,15.7,5,207,
HOW1,35,PCRU,C,25.5,3.7,248,
HOW1,36,PCRU,I,26.9,7.2,203,
HOW1,37,TSCA,I,33.7,7.2,202,
HOW1,38,PCRU,C,19.4,7.1,177,
HOW1,39,PCRU,C,33,10.9,176,
HOW1,40,THOC,I,15.6,11.2,181,
HOW1,41,THOC,S,12.4,11.3,178,
HOW1,42,ACRU,S,12.1,11.5,174,
HOW1,43,PCRU,C,23.5,14.4,160,
HOW1,44,PCRU,C,20,17.3,154,
HOW1,45,PCRU,C,20.9,16.7,160,
HOW1,46,PCRU,C,23,17.4,163,
HOW1,47,PCRU,C,20.1,16.5,182,
HOW1,48,PCRU,C,24.8,11.8,186,
HOW1,49,PCRU,C,37.4,12.9,192,
HOW1,50,THOC,S,19.1,12.8,194,
HOW1,51,THOC,I,22.7,14.5,195,
HOW1,52,THOC,C,22.7,15.3,187,
HOW1,53,THOC,C,23.4,17.2,189,
HOW1,54,PCRU,C,22.6,18.5,189,
HOW1,55,PCRU,C,25.8,17.4,190,
HOW1,56,ACRU,C,32,27,206,
HOW1,57,PCRU,C,36.1,28.5,208,
HOW1,58,PCRU,C,32.1,29.9,205,
HOW1,59,PCRU,D,44.2,29,219,
HOW1,60,ACRU,D,33.9,21.5,227,
HOW1,61,ACRU,D,24.8,16.1,226,
HOW1,62,TSCA,I,24.5,15.9,224,
HOW1,63,TSCA,S,28.5,13,220,
HOW1,64,PCRU,C,23.1,12.3,218,
HOW1,65,THOC,I,28.2,14.5,209,
HOW1,66,PCRU,C,26.4,9.4,210,
HOW1,67,PCRU,I,14.8,9.1,221,
HOW1,68,PCRU,C,19.1,9.9,243,
HOW1,69,TSCA,C,25.8,13.3,251,
HOW1,70,PCRU,D,19.5,12.6,240,
HOW1,71,PCRU,C,29.4,18.1,252,
HOW1,72,TSCA,I,34.6,23.7,256,
HOW1,73,TSCA,C,36.2,24.5,253,
