"","species","site","trees","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","totAB"
"1","ABBA","HOW1",115,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",48.4604403720927
"2","ACRU","HOW2",6,"I",30.7,6.9,20,1462201.724,5079335.22,6.483879083,2.359938989,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",437.565974864364
"3","ACRU","HOW2",39,"C",15.2,9,350,1462204.103,5079331.297,8.863269777,-1.562833599,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",82.0955906198606
"4","ACRU","HOW1",117,"C",14.5,11.6,73,1462561.272,5079343.953,3.391511775,11.09313517,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",73.3803446881514
"5","ACRU","HOW3",87,"I",14,9.3,305,1462125.104,50793325.91,5.334260858,-7.618114012,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",67.499806995005
"6","ACRU","HOW1",108,"S-I",20.5,4.9,3,1462562.773,5079333.116,4.89328472,0.256446186,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",167.324002932757
"7","ACRU","HOW2",32,"C",28,1.9,343,1462197.057,5079332.304,1.816979036,-0.555506239,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",351.458727850422
"8","ACRU","HOW1",90,"I",17.7,11.8,125,1462551.112,5079342.526,-6.768201949,9.665994123,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",117.960041903365
"9","ACRU","HOW3",85,"I",23.9,14.8,45,1462130.235,50793344,10.46518036,10.46518036,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",241.100281988939
"10","ACRU","HOW1",116,"I",18.2,10.2,71,1462561.201,5079342.504,3.320795175,9.644289471,7.95774715459477,0.1262,2.3804,"ME",1,"Young1980","Ter-Miakelian",126.04722441531
