"","species","site","trees","meanRW","year","rACUM","rACUM.inv","Canopy","dbh","dist","azimuth","easting","northing","A","B","convha","a","b","region","eq","Origin_ref","ref","dbhest1","dbhest2","AB","annAB","annAB.ha"
"1","ABBA","HOW1",115,0.139,2009,53.326,0.494,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.4734,13.5012,47.7047785863372,0.211478116724957,1.68288938162708
"2","ABBA","HOW1",115,0.326,2008,53.187,0.633,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.4082,13.4734,47.4933004696122,0.494009344079243,3.93120145218982
"3","ABBA","HOW1",115,0.4635,1983,45.9145,7.9055,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",11.9262,12.0189,37.1272384350366,0.614492915969509,4.889979253575
"4","ABBA","HOW1",115,0.145,2011,53.555,0.265,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.518,13.547,48.0542836782099,0.221461174951923,1.76233203482688
"5","ABBA","HOW1",115,0.084,2010,53.41,0.41,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.5012,13.518,47.832822503258,0.128043916920787,1.01894111553956
"6","ABBA","HOW1",115,0.368,2007,52.861,0.959,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.3346,13.4082,46.999291125533,0.55432895607167,4.41120967288882
"7","ABBA","HOW1",115,0.458,1982,45.451,8.369,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",11.8346,11.9262,36.5127455190671,0.601804217424704,4.78900579883457
"8","ABBA","HOW1",115,0.107,2006,52.493,1.327,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.3132,13.3346,46.4449621694613,0.160515726959971,1.27734356948342
"9","ABBA","HOW1",115,0.7255,1971,39.246,14.574,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",10.5401,10.6852,28.8127859745538,0.836757735286749,6.65870648706329
"10","ABBA","HOW1",115,0.3625,1981,44.993,8.827,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",11.7621,11.8346,35.9109413016424,0.472519656606679,3.7601919528519
"11","ABBA","HOW1",115,0.103,2013,53.82,0,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.5794,13.6,48.4604403720927,0.158082391967995,1.25797970487485
"12","ABBA","HOW1",115,0.646,1978,43.6215,10.1985,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",11.4311,11.5603,34.1408354377175,0.817153924101974,6.50270431438843
"13","ABBA","HOW1",115,0.529,1979,44.1505,9.6695,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",11.5603,11.6661,34.8179000740913,0.677064636373832,5.3879091835806
"14","ABBA","HOW1",115,0.162,2012,53.717,0.103,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",13.547,13.5794,48.3023579801247,0.248074301914794,1.97411257019053
"15","ABBA","HOW1",115,0.4825,1977,42.9755,10.8445,"S",13.6,7.5,40,1462563.625,5079337.681,5.745333323,4.820907073,7.95774715459477,0.1746,2.1555,"NB",1,"Ker1984","",11.3346,11.4311,33.3236815136155,0.603417441313009,4.80184342664146
